imiê;drugie imiê;Nazwisko;stanowisko;zmiana;wypracowane godziny;nr.telefonu
Alicja;Maria;Pawlak;Programista;poranna;172;601234567
Bartosz;Micha³;Król;Magazynier;nocna;148;602345678
Karolina;Anna;Dudek;Recepcjonista;popo³udniowa;160;603456789
Marek;Tomasz;Malinowski;Operator;poranna;176;604567890
Natalia;Ewa;Górska;Ksiêgowy;nocna;152;605678901
Adrian;Pawe³;Paw³owski;Analityk;popo³udniowa;168;606789012
Dorota;Monika;Michalska;Handlowiec;poranna;158;607890123
Rafa³;Krzysztof;Adamczyk;Technik;nocna;144;608901234
Izabela;Katarzyna;B¹k;Kierownik;popo³udniowa;182;609012345
Sebastian;£ukasz;Walczak;Deweloper;poranna;174;610123456
Wioletta;Agnieszka;Sikora;Magazynier;nocna;140;611234567
Konrad;Damian;Lis;Programista;popo³udniowa;170;612345678
Sylwia;Justyna;Czarnecka;Recepcjonista;poranna;162;613456789
Oskar;Robert;Sawicki;Operator;nocna;150;614567890
Kinga;Zofia;Wojnar;Ksiêgowy;popo³udniowa;166;615678901
Damian;Marek;Urban;Analityk;poranna;178;616789012
Klaudia;El¿bieta;Olejniczak;Handlowiec;nocna;154;617890123
Jakub;Szymon;Cieœlak;Technik;popo³udniowa;160;618901234
Emilia;Paulina;Majewska;Kierownik;poranna;180;619012345
Patryk;Dawid;Bednarek;Deweloper;nocna;146;620123456
